Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2008,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"314,304",17.48%
Lake Mead NRA,2,"199,921",11.12%
Yosemite NP,3,"137,330",7.64%
Saint Croix NSR,4,"83,631",4.65%
Great Smoky Mountains NP,5,"71,381",3.97%
Canyonlands NP,6,"68,810",3.83%
Olympic NP,7,"67,893",3.78%
Delaware Water Gap NRA,8,"52,758",2.93%
Rocky Mountain NP,9,"47,701",2.65%
Yellowstone NP,10,"39,603",2.20%
Mount Rainier NP,11,"39,576",2.20%
Shenandoah NP,12,"37,615",2.09%
Zion NP,13,"35,746",1.99%
Buffalo NR,14,"34,448",1.92%
Isle Royale NP,15,"32,289",1.80%
Denali NP & PRES,16,"31,621",1.76%
Dinosaur NM,17,"31,197",1.74%
Grand Teton NP,18,"27,521",1.53%
Glacier NP,19,"26,867",1.49%
Point Reyes NS,20,"26,706",1.49%
Sequoia NP,21,"23,681",1.32%
Big Bend NP,22,"19,306",1.07%
Sleeping Bear Dunes NL,23,"19,224",1.07%
Voyageurs NP,24,"18,626",1.04%
Yukon-Charley Rivers NPRES,25,"17,514",0.97%
Everglades NP,26,"17,090",0.95%
Channel Islands NP,27,"16,949",0.94%
Big South Fork NRRA,28,"16,928",0.94%
Glen Canyon NRA,29,"16,873",0.94%
North Cascades NP,30,"15,233",0.85%
Apostle Islands NL,31,"14,746",0.82%
Ozark NSR,32,"14,729",0.82%
Ross Lake NRA,33,"14,376",0.80%
Kings Canyon NP,34,"14,180",0.79%
Pictured Rocks NL,35,"13,786",0.77%
Padre Island NS,36,"13,633",0.76%
Cape Lookout NS,37,"12,162",0.68%
Big Cypress NPRES,38,"11,679",0.65%
Rio Grande W&SR,39,"6,631",0.37%
Gates of the Arctic NP & PRES,40,"6,274",0.35%
Glacier Bay NP & PRES,41,"5,888",0.33%
Lassen Volcanic NP,42,"5,733",0.32%
Mammoth Cave NP,43,"5,236",0.29%
Cumberland Island NS,44,"5,097",0.28%
Hawaii Volcanoes NP,45,"4,729",0.26%
Klondike Gold Rush NHP Alaska,46,"4,037",0.22%
Joshua Tree NP,47,"3,865",0.21%
Amistad NRA,48,"3,658",0.20%
"John D. Rockefeller, Jr. MEM PKWY",49,"3,078",0.17%
Whiskeytown NRA,50,"2,788",0.16%
Guadalupe Mountains NP,51,"2,579",0.14%
Canaveral NS,52,"2,474",0.14%
Lake Clark NP & PRES,53,"2,346",0.13%
Great Sand Dunes NP & PRES,54,"2,119",0.12%
Blue Ridge PKWY,55,"2,071",0.12%
Assateague Island NS,56,"1,991",0.11%
Lake Roosevelt NRA,57,"1,652",0.09%
Saguaro NP,58,"1,599",0.09%
Haleakala NP,59,"1,480",0.08%
Capitol Reef NP,60,"1,435",0.08%
Redwood NP,61,"1,384",0.08%
Crater Lake NP,62,"1,349",0.08%
White Sands NM,63,"1,330",0.07%
Bighorn Canyon NRA,64,"1,301",0.07%
Bryce Canyon NP,65,"1,300",0.07%
Black Canyon of the Gunnison NP,66,"1,259",0.07%
Acadia NP,67,"1,229",0.07%
Canyon de Chelly NM,68,"1,182",0.07%
Bandelier NM,69,"1,097",0.06%
Congaree NP,70,"1,084",0.06%
Cumberland Gap NHP,71,956,0.05%
Big Thicket NPRES,72,924,0.05%
Golden Gate NRA,73,767,0.04%
Fire Island NS,74,714,0.04%
Noatak NPRES,75,710,0.04%
Gulf Islands NS,76,689,0.04%
Badlands NP,77,613,0.03%
Theodore Roosevelt NP,78,593,0.03%
El Malpais NM,79,569,0.03%
Organ Pipe Cactus NM,80,476,0.03%
Prince William Forest Park,81,396,0.02%
Great Basin NP,82,392,0.02%
Bering Land Bridge NPRES,83,375,0.02%
Arches NP,84,366,0.02%
Kobuk Valley NP,85,334,0.02%
Obed W&SR,86,277,0.02%
Cape Krusenstern NM,87,267,0.01%
Kenai Fjords NP,88,194,0.01%
Petrified Forest NP,89,174,0.01%
Moores Creek NB,90,167,0.01%
Navajo NM,91,163,0.01%
Santa Monica Mountains NRA,92,144,0.01%
Catoctin Mountain Park,93,130,0.01%
Grand Portage NM,94,125,0.01%
Colorado NM,95,106,0.01%
Wind Cave NP,96,100,0.01%
Carlsbad Caverns NP,97,86,0.00%
Craters of the Moon NM,98,69,0.00%
Kings Mountain NMP,99,61,0.00%
Lake Meredith NRA,100,47,0.00%
Lake Chelan NRA,101,20,0.00%
