Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2012,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"300,418",16.53%
Lake Mead NRA,2,"170,771",9.40%
Yosemite NP,3,"168,783",9.29%
Great Smoky Mountains NP,4,"84,236",4.64%
Glen Canyon NRA,5,"79,661",4.38%
Canyonlands NP,6,"58,546",3.22%
Olympic NP,7,"55,776",3.07%
Delaware Water Gap NRA,8,"52,002",2.86%
Zion NP,9,"48,932",2.69%
Mount Rainier NP,10,"45,565",2.51%
Shenandoah NP,11,"42,133",2.32%
Denali NP & PRES,12,"41,685",2.29%
Yellowstone NP,13,"40,460",2.23%
Isle Royale NP,14,"33,808",1.86%
Dinosaur NM,15,"32,556",1.79%
Saint Croix NSR,16,"31,233",1.72%
Grand Teton NP,17,"30,214",1.66%
Point Reyes NS,18,"29,881",1.64%
Rocky Mountain NP,19,"29,558",1.63%
Voyageurs NP,20,"28,837",1.59%
Glacier NP,21,"26,634",1.47%
Sequoia NP,22,"21,969",1.21%
Ross Lake NRA,23,"20,874",1.15%
Channel Islands NP,24,"19,785",1.09%
North Cascades NP,25,"19,360",1.07%
Sleeping Bear Dunes NL,26,"18,034",0.99%
Ozark NSR,27,"17,036",0.94%
Big Bend NP,28,"15,648",0.86%
Pictured Rocks NL,29,"14,850",0.82%
Big Cypress NPRES,30,"14,627",0.81%
Apostle Islands NL,31,"14,376",0.79%
Padre Island NS,32,"13,630",0.75%
Kings Canyon NP,33,"12,121",0.67%
Big South Fork NRRA,34,"11,889",0.65%
Joshua Tree NP,35,"9,983",0.55%
Cape Lookout NS,36,"9,803",0.54%
Noatak NPRES,37,"9,600",0.53%
Everglades NP,38,"8,456",0.47%
Kobuk Valley NP,39,"8,400",0.46%
Buffalo NR,40,"8,368",0.46%
Cape Krusenstern NM,41,"6,500",0.36%
Gates of the Arctic NP & PRES,42,"5,708",0.31%
Glacier Bay NP & PRES,43,"5,381",0.30%
Mammoth Cave NP,44,"5,348",0.29%
Cumberland Island NS,45,"5,327",0.29%
Yukon-Charley Rivers NPRES,46,"5,173",0.28%
Whiskeytown NRA,47,"4,638",0.26%
Hawaii Volcanoes NP,48,"4,466",0.25%
Lake Chelan NRA,49,"4,395",0.24%
Assateague Island NS,50,"4,299",0.24%
Lassen Volcanic NP,51,"4,173",0.23%
Rio Grande W&SR,52,"3,945",0.22%
Klondike Gold Rush NHP Alaska,53,"3,908",0.22%
Lake Clark NP & PRES,54,"3,237",0.18%
"John D. Rockefeller, Jr. MEM PKWY",55,"2,986",0.16%
Big Thicket NPRES,56,"2,807",0.15%
Canaveral NS,57,"2,769",0.15%
Katmai NP & PRES,58,"2,754",0.15%
Great Sand Dunes NP & PRES,59,"2,613",0.14%
Blue Ridge PKWY,60,"2,582",0.14%
White Sands NM,61,"2,272",0.13%
Crater Lake NP,62,"2,066",0.11%
Capitol Reef NP,63,"1,810",0.10%
Guadalupe Mountains NP,64,"1,742",0.10%
Bryce Canyon NP,65,"1,712",0.09%
Haleakala NP,66,"1,587",0.09%
Saguaro NP,67,"1,545",0.09%
Fire Island NS,68,"1,390",0.08%
Acadia NP,69,"1,316",0.07%
Cumberland Gap NHP,70,"1,295",0.07%
Redwood NP,71,"1,255",0.07%
Bering Land Bridge NPRES,72,"1,123",0.06%
Lake Roosevelt NRA,73,"1,083",0.06%
Moores Creek NB,74,"1,011",0.06%
Badlands NP,75,979,0.05%
Golden Gate NRA,76,958,0.05%
Gulf Islands NS,77,911,0.05%
Canyon de Chelly NM,78,896,0.05%
Theodore Roosevelt NP,79,891,0.05%
Congaree NP,80,867,0.05%
Arches NP,81,851,0.05%
Obed W&SR,82,706,0.04%
Black Canyon of the Gunnison NP,83,666,0.04%
Great Basin NP,84,638,0.04%
Kenai Fjords NP,85,514,0.03%
Organ Pipe Cactus NM,86,455,0.03%
Prince William Forest Park,87,388,0.02%
Catoctin Mountain Park,88,295,0.02%
Kings Mountain NMP,89,267,0.01%
Petrified Forest NP,90,257,0.01%
Bandelier NM,91,241,0.01%
Colorado NM,92,232,0.01%
Wind Cave NP,93,226,0.01%
Grand Portage NM,94,200,0.01%
Carlsbad Caverns NP,95,151,0.01%
Santa Monica Mountains NRA,96,144,0.01%
Craters of the Moon NM,97,139,0.01%
Navajo NM,98,138,0.01%
Curecanti NRA,99,117,0.01%
Lake Meredith NRA,100,26,0.00%
Aniakchak NM & PRES,101,23,0.00%
El Malpais NM,102,14,0.00%
