Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2011,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"291,833",17.01%
Lake Mead NRA,2,"180,339",10.51%
Yosemite NP,3,"103,420",6.03%
Great Smoky Mountains NP,4,"90,444",5.27%
Delaware Water Gap NRA,5,"63,249",3.69%
Canyonlands NP,6,"60,557",3.53%
Glen Canyon NRA,7,"59,582",3.47%
Olympic NP,8,"57,162",3.33%
Zion NP,9,"40,344",2.35%
Denali NP & PRES,10,"39,914",2.33%
Mount Rainier NP,11,"39,907",2.33%
Yellowstone NP,12,"37,292",2.17%
Shenandoah NP,13,"36,571",2.13%
Isle Royale NP,14,"34,221",1.99%
Rocky Mountain NP,15,"31,216",1.82%
Saint Croix NSR,16,"29,738",1.73%
Point Reyes NS,17,"29,083",1.70%
Grand Teton NP,18,"28,216",1.64%
Glacier NP,19,"25,715",1.50%
Dinosaur NM,20,"25,656",1.50%
Sleeping Bear Dunes NL,21,"23,222",1.35%
Channel Islands NP,22,"22,831",1.33%
Sequoia NP,23,"22,210",1.29%
Voyageurs NP,24,"21,915",1.28%
Ross Lake NRA,25,"21,879",1.28%
Ozark NSR,26,"17,382",1.01%
Buffalo NR,27,"17,295",1.01%
North Cascades NP,28,"17,002",0.99%
Big Bend NP,29,"16,254",0.95%
Big South Fork NRRA,30,"15,856",0.92%
Pictured Rocks NL,31,"15,657",0.91%
Apostle Islands NL,32,"14,665",0.85%
Cape Lookout NS,33,"14,033",0.82%
Padre Island NS,34,"13,638",0.79%
Everglades NP,35,"11,546",0.67%
Kings Canyon NP,36,"11,186",0.65%
Joshua Tree NP,37,"8,664",0.51%
Gates of the Arctic NP & PRES,38,"6,576",0.38%
Lassen Volcanic NP,39,"6,104",0.36%
Yukon-Charley Rivers NPRES,40,"5,519",0.32%
Mammoth Cave NP,41,"5,114",0.30%
Kobuk Valley NP,42,"4,896",0.29%
Rio Grande W&SR,43,"4,871",0.28%
Cumberland Island NS,44,"4,760",0.28%
Glacier Bay NP & PRES,45,"4,736",0.28%
Noatak NPRES,46,"4,677",0.27%
Cape Krusenstern NM,47,"4,335",0.25%
Big Cypress NPRES,48,"4,271",0.25%
Hawaii Volcanoes NP,49,"4,235",0.25%
Klondike Gold Rush NHP Alaska,50,"4,222",0.25%
Whiskeytown NRA,51,"4,193",0.24%
Lake Chelan NRA,52,"4,053",0.24%
Canaveral NS,53,"3,146",0.18%
Blue Ridge PKWY,54,"2,662",0.16%
Guadalupe Mountains NP,55,"2,235",0.13%
Great Sand Dunes NP & PRES,56,"2,201",0.13%
White Sands NM,57,"2,185",0.13%
Amistad NRA,58,"2,113",0.12%
Assateague Island NS,59,"2,100",0.12%
Saguaro NP,60,"2,033",0.12%
Lake Roosevelt NRA,61,"2,005",0.12%
Lake Clark NP & PRES,62,"1,931",0.11%
Crater Lake NP,63,"1,925",0.11%
Big Thicket NPRES,64,"1,891",0.11%
Bryce Canyon NP,65,"1,702",0.10%
Cumberland Gap NHP,66,"1,626",0.09%
Badlands NP,67,"1,578",0.09%
Haleakala NP,68,"1,562",0.09%
Capitol Reef NP,69,"1,504",0.09%
Gulf Islands NS,70,"1,465",0.09%
Redwood NP,71,"1,330",0.08%
"John D. Rockefeller, Jr. MEM PKWY",72,"1,253",0.07%
Arches NP,73,"1,192",0.07%
Congaree NP,74,"1,176",0.07%
Acadia NP,75,"1,157",0.07%
Bering Land Bridge NPRES,76,"1,103",0.06%
Golden Gate NRA,77,"1,090",0.06%
Canyon de Chelly NM,78,"1,042",0.06%
Fire Island NS,79,885,0.05%
Theodore Roosevelt NP,80,768,0.04%
Great Basin NP,81,674,0.04%
Black Canyon of the Gunnison NP,82,631,0.04%
Kenai Fjords NP,83,541,0.03%
Bandelier NM,84,471,0.03%
El Malpais NM,85,417,0.02%
Katmai NP & PRES,86,400,0.02%
Prince William Forest Park,87,328,0.02%
Organ Pipe Cactus NM,88,306,0.02%
Bighorn Canyon NRA,89,305,0.02%
Obed W&SR,90,278,0.02%
Moores Creek NB,91,252,0.01%
Petrified Forest NP,92,252,0.01%
Wind Cave NP,93,249,0.01%
Colorado NM,94,242,0.01%
Catoctin Mountain Park,95,169,0.01%
Aniakchak NM & PRES,96,156,0.01%
Navajo NM,97,150,0.01%
Grand Portage NM,98,149,0.01%
Santa Monica Mountains NRA,99,144,0.01%
Curecanti NRA,100,115,0.01%
Carlsbad Caverns NP,101,107,0.01%
Kings Mountain NMP,102,92,0.01%
Craters of the Moon NM,103,55,0.00%
Lava Beds NM,104,12,0.00%
