Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2009,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"276,150",14.85%
Lake Mead NRA,2,"196,480",10.56%
Yosemite NP,3,"158,233",8.51%
Saint Croix NSR,4,"88,928",4.78%
Olympic NP,5,"82,085",4.41%
Great Smoky Mountains NP,6,"79,182",4.26%
Canyonlands NP,7,"62,595",3.37%
Glen Canyon NRA,8,"55,036",2.96%
Delaware Water Gap NRA,9,"53,352",2.87%
Mount Rainier NP,10,"43,083",2.32%
Zion NP,11,"41,933",2.25%
Glacier NP,12,"40,855",2.20%
Yellowstone NP,13,"39,736",2.14%
Shenandoah NP,14,"39,083",2.10%
Sequoia NP,15,"36,238",1.95%
Buffalo NR,16,"31,957",1.72%
Rocky Mountain NP,17,"31,912",1.72%
Grand Teton NP,18,"30,731",1.65%
Denali NP & PRES,19,"29,855",1.60%
Isle Royale NP,20,"28,864",1.55%
Point Reyes NS,21,"28,098",1.51%
Dinosaur NM,22,"27,514",1.48%
Big Bend NP,23,"20,727",1.11%
Channel Islands NP,24,"20,197",1.09%
Big South Fork NRRA,25,"19,301",1.04%
Sleeping Bear Dunes NL,26,"18,506",0.99%
Voyageurs NP,27,"17,776",0.96%
Ozark NSR,28,"17,165",0.92%
Apostle Islands NL,29,"15,766",0.85%
Yukon-Charley Rivers NPRES,30,"15,562",0.84%
Ross Lake NRA,31,"14,751",0.79%
North Cascades NP,32,"14,558",0.78%
Kings Canyon NP,33,"14,309",0.77%
Pictured Rocks NL,34,"13,688",0.74%
Padre Island NS,35,"13,646",0.73%
Everglades NP,36,"13,062",0.70%
Big Cypress NPRES,37,"12,600",0.68%
Cape Lookout NS,38,"8,841",0.48%
Lassen Volcanic NP,39,"5,798",0.31%
Mammoth Cave NP,40,"5,737",0.31%
Joshua Tree NP,41,"5,592",0.30%
Cumberland Island NS,42,"5,575",0.30%
Hawaii Volcanoes NP,43,"5,236",0.28%
Rio Grande W&SR,44,"4,661",0.25%
Gates of the Arctic NP & PRES,45,"4,638",0.25%
Glacier Bay NP & PRES,46,"4,541",0.24%
Whiskeytown NRA,47,"4,406",0.24%
Klondike Gold Rush NHP Alaska,48,"3,636",0.20%
Lake Clark NP & PRES,49,"3,321",0.18%
Amistad NRA,50,"2,949",0.16%
Big Thicket NPRES,51,"2,722",0.15%
Blue Ridge PKWY,52,"2,598",0.14%
"John D. Rockefeller, Jr. MEM PKWY",53,"2,558",0.14%
Guadalupe Mountains NP,54,"2,405",0.13%
Great Sand Dunes NP & PRES,55,"2,355",0.13%
Canaveral NS,56,"2,081",0.11%
Assateague Island NS,57,"2,063",0.11%
Crater Lake NP,58,"1,852",0.10%
Bryce Canyon NP,59,"1,824",0.10%
Lake Roosevelt NRA,60,"1,778",0.10%
White Sands NM,61,"1,751",0.09%
Haleakala NP,62,"1,671",0.09%
Saguaro NP,63,"1,599",0.09%
Capitol Reef NP,64,"1,453",0.08%
Black Canyon of the Gunnison NP,65,"1,412",0.08%
Badlands NP,66,"1,410",0.08%
Redwood NP,67,"1,338",0.07%
Canyon de Chelly NM,68,"1,230",0.07%
Noatak NPRES,69,"1,164",0.06%
Gulf Islands NS,70,"1,133",0.06%
Acadia NP,71,"1,037",0.06%
Kenai Fjords NP,72,953,0.05%
Congaree NP,73,861,0.05%
Bering Land Bridge NPRES,74,856,0.05%
Kobuk Valley NP,75,818,0.04%
Arches NP,76,808,0.04%
Theodore Roosevelt NP,77,798,0.04%
Bighorn Canyon NRA,78,785,0.04%
Golden Gate NRA,79,782,0.04%
Cumberland Gap NHP,80,715,0.04%
Fire Island NS,81,692,0.04%
Cape Krusenstern NM,82,662,0.04%
Lake Chelan NRA,83,632,0.03%
Bandelier NM,84,591,0.03%
Organ Pipe Cactus NM,85,494,0.03%
Moores Creek NB,86,481,0.03%
El Malpais NM,87,461,0.02%
Great Basin NP,88,445,0.02%
Katmai NP & PRES,89,383,0.02%
Prince William Forest Park,90,317,0.02%
Petrified Forest NP,91,276,0.01%
Navajo NM,92,230,0.01%
Obed W&SR,93,222,0.01%
Catoctin Mountain Park,94,166,0.01%
Wind Cave NP,95,163,0.01%
Colorado NM,96,154,0.01%
Santa Monica Mountains NRA,97,144,0.01%
Carlsbad Caverns NP,98,114,0.01%
Craters of the Moon NM,99,113,0.01%
Kings Mountain NMP,100,87,0.00%
Grand Portage NM,101,60,0.00%
Lake Meredith NRA,102,20,0.00%
