Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2014,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"269,236",14.26%
Yosemite NP,2,"190,339",10.08%
Lake Mead NRA,3,"168,814",8.94%
Saint Croix NSR,4,"90,041",4.77%
Great Smoky Mountains NP,5,"86,153",4.56%
Canyonlands NP,6,"77,518",4.11%
Olympic NP,7,"69,731",3.69%
Glen Canyon NRA,8,"62,367",3.30%
Delaware Water Gap NRA,9,"52,701",2.79%
Mount Rainier NP,10,"48,679",2.58%
Point Reyes NS,11,"44,489",2.36%
Yellowstone NP,12,"41,243",2.18%
Shenandoah NP,13,"40,644",2.15%
Denali NP & PRES,14,"38,443",2.04%
Rocky Mountain NP,15,"34,321",1.82%
Voyageurs NP,16,"31,941",1.69%
Glacier NP,17,"29,869",1.58%
Isle Royale NP,18,"29,662",1.57%
Grand Teton NP,19,"29,524",1.56%
Sequoia NP,20,"29,013",1.54%
Buffalo NR,21,"28,602",1.51%
Dinosaur NM,22,"27,507",1.46%
Big Bend NP,23,"24,723",1.31%
Zion NP,24,"23,257",1.23%
Channel Islands NP,25,"23,068",1.22%
Ross Lake NRA,26,"22,892",1.21%
North Cascades NP,27,"21,547",1.14%
Sleeping Bear Dunes NL,28,"19,499",1.03%
Pictured Rocks NL,29,"17,702",0.94%
Kings Canyon NP,30,"15,603",0.83%
Padre Island NS,31,"13,638",0.72%
Ozark NSR,32,"13,073",0.69%
Apostle Islands NL,33,"12,795",0.68%
Big Cypress NPRES,34,"11,513",0.61%
Big South Fork NRRA,35,"11,272",0.60%
Joshua Tree NP,36,"10,604",0.56%
Yukon-Charley Rivers NPRES,37,"10,471",0.55%
Cumberland Island NS,38,"6,333",0.34%
Glacier Bay NP & PRES,39,"6,303",0.33%
Gates of the Arctic NP & PRES,40,"6,166",0.33%
Lassen Volcanic NP,41,"5,898",0.31%
Everglades NP,42,"5,875",0.31%
Lake Chelan NRA,43,"5,614",0.30%
Whiskeytown NRA,44,"5,470",0.29%
Mammoth Cave NP,45,"4,744",0.25%
Hawaii Volcanoes NP,46,"4,621",0.24%
Klondike Gold Rush NHP Alaska,47,"4,170",0.22%
Redwood NP,48,"3,829",0.20%
Great Sand Dunes NP & PRES,49,"3,405",0.18%
Lake Roosevelt NRA,50,"3,371",0.18%
Guadalupe Mountains NP,51,"3,188",0.17%
Canaveral NS,52,"3,161",0.17%
Crater Lake NP,53,"2,929",0.16%
Cape Lookout NS,54,"2,593",0.14%
Big Thicket NPRES,55,"2,450",0.13%
Blue Ridge PKWY,56,"2,429",0.13%
Lake Clark NP & PRES,57,"2,174",0.12%
White Sands NM,58,"2,087",0.11%
Capitol Reef NP,59,"2,081",0.11%
Assateague Island NS,60,"2,034",0.11%
"John D. Rockefeller, Jr. MEM PKWY",61,"1,642",0.09%
Bryce Canyon NP,62,"1,449",0.08%
Cumberland Gap NHP,63,"1,427",0.08%
Badlands NP,64,"1,419",0.08%
Saguaro NP,65,"1,377",0.07%
Haleakala NP,66,"1,375",0.07%
Golden Gate NRA,67,"1,363",0.07%
Acadia NP,68,"1,230",0.07%
Arches NP,69,"1,211",0.06%
Rio Grande W&SR,70,"1,183",0.06%
Bering Land Bridge NPRES,71,"1,123",0.06%
Great Basin NP,72,"1,063",0.06%
Theodore Roosevelt NP,73,849,0.04%
Canyon de Chelly NM,74,827,0.04%
Obed W&SR,75,781,0.04%
Katmai NP & PRES,76,483,0.03%
Catoctin Mountain Park,77,477,0.03%
Moores Creek NB,78,463,0.02%
Congaree NP,79,460,0.02%
Kenai Fjords NP,80,432,0.02%
Organ Pipe Cactus NM,81,424,0.02%
Fire Island NS,82,407,0.02%
Black Canyon of the Gunnison NP,83,390,0.02%
Aniakchak NM & PRES,84,381,0.02%
Prince William Forest Park,85,356,0.02%
Bandelier NM,86,285,0.02%
Petrified Forest NP,87,252,0.01%
Wind Cave NP,88,220,0.01%
Curecanti NRA,89,218,0.01%
Navajo NM,90,216,0.01%
Craters of the Moon NM,91,207,0.01%
Colorado NM,92,194,0.01%
Kings Mountain NMP,93,154,0.01%
Carlsbad Caverns NP,94,146,0.01%
Santa Monica Mountains NRA,95,144,0.01%
Grand Portage NM,96,48,0.00%
