Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2016,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"330,703",15.35%
Yosemite NP,2,"216,989",10.07%
Lake Mead NRA,3,"155,433",7.21%
Great Smoky Mountains NP,4,"109,349",5.07%
Olympic NP,5,"100,347",4.66%
Saint Croix NSR,6,"91,544",4.25%
Canyonlands NP,7,"86,227",4.00%
Mount Rainier NP,8,"57,636",2.67%
Denali NP & PRES,9,"49,309",2.29%
Shenandoah NP,10,"48,825",2.27%
Voyageurs NP,11,"46,451",2.16%
Rocky Mountain NP,12,"45,223",2.10%
Yellowstone NP,13,"44,663",2.07%
Big Bend NP,14,"41,793",1.94%
Point Reyes NS,15,"40,363",1.87%
Glacier NP,16,"38,421",1.78%
Buffalo NR,17,"38,297",1.78%
Cape Lookout NS,18,"37,197",1.73%
Glen Canyon NRA,19,"36,871",1.71%
Sequoia NP,20,"36,247",1.68%
Grand Teton NP,21,"36,206",1.68%
Dinosaur NM,22,"34,591",1.61%
Zion NP,23,"28,248",1.31%
North Cascades NP,24,"25,516",1.18%
Ross Lake NRA,25,"25,153",1.17%
Channel Islands NP,26,"22,885",1.06%
Isle Royale NP,27,"22,604",1.05%
Joshua Tree NP,28,"21,195",0.98%
Pictured Rocks NL,29,"21,020",0.98%
Delaware Water Gap NRA,30,"19,752",0.92%
Sleeping Bear Dunes NL,31,"14,732",0.68%
Padre Island NS,32,"13,632",0.63%
Ozark NSR,33,"13,184",0.61%
Big South Fork NRRA,34,"12,794",0.59%
Everglades NP,35,"12,726",0.59%
Kings Canyon NP,36,"12,046",0.56%
Apostle Islands NL,37,"11,220",0.52%
Lassen Volcanic NP,38,"9,057",0.42%
Gates of the Arctic NP & PRES,39,"7,971",0.37%
Cumberland Island NS,40,"7,324",0.34%
Kobuk Valley NP,41,"7,050",0.33%
Lake Clark NP & PRES,42,"6,486",0.30%
Cape Krusenstern NM,43,"6,375",0.30%
Lake Chelan NRA,44,"6,314",0.29%
Glacier Bay NP & PRES,45,"6,161",0.29%
Whiskeytown NRA,46,"5,583",0.26%
Noatak NPRES,47,"5,500",0.26%
Hawaii Volcanoes NP,48,"5,178",0.24%
Mammoth Cave NP,49,"5,088",0.24%
Klondike Gold Rush NHP Alaska,50,"5,061",0.23%
Crater Lake NP,51,"4,706",0.22%
Redwood NP,52,"4,681",0.22%
Great Sand Dunes NP & PRES,53,"4,508",0.21%
White Sands NM,54,"4,331",0.20%
Big Thicket NPRES,55,"3,339",0.15%
Big Cypress NPRES,56,"3,287",0.15%
Yukon-Charley Rivers NPRES,57,"3,063",0.14%
Lake Roosevelt NRA,58,"3,029",0.14%
Capitol Reef NP,59,"2,996",0.14%
Guadalupe Mountains NP,60,"2,954",0.14%
Bryce Canyon NP,61,"2,684",0.12%
Canaveral NS,62,"2,636",0.12%
Haleakala NP,63,"2,392",0.11%
Black Canyon of the Gunnison NP,64,"1,936",0.09%
Rio Grande W&SR,65,"1,894",0.09%
Saguaro NP,66,"1,868",0.09%
"John D. Rockefeller, Jr. MEM PKWY",67,"1,572",0.07%
Fire Island NS,68,"1,546",0.07%
Badlands NP,69,"1,410",0.07%
Acadia NP,70,"1,324",0.06%
Cumberland Gap NHP,71,"1,282",0.06%
Golden Gate NRA,72,"1,269",0.06%
Arches NP,73,"1,174",0.05%
Bering Land Bridge NPRES,74,"1,123",0.05%
Great Basin NP,75,"1,067",0.05%
Assateague Island NS,76,973,0.05%
Blue Ridge PKWY,77,757,0.04%
Canyon de Chelly NM,78,745,0.03%
Curecanti NRA,79,731,0.03%
Bandelier NM,80,665,0.03%
Kenai Fjords NP,81,648,0.03%
Wind Cave NP,82,493,0.02%
Obed W&SR,83,487,0.02%
Petrified Forest NP,84,486,0.02%
Catoctin Mountain Park,85,483,0.02%
Katmai NP & PRES,86,483,0.02%
Navajo NM,87,363,0.02%
Craters of the Moon NM,88,359,0.02%
Colorado NM,89,358,0.02%
Prince William Forest Park,90,346,0.02%
Congaree NP,91,286,0.01%
Carlsbad Caverns NP,92,251,0.01%
Aniakchak NM & PRES,93,235,0.01%
Theodore Roosevelt NP,94,232,0.01%
Moores Creek NB,95,207,0.01%
Santa Monica Mountains NRA,96,144,0.01%
Gulf Islands NS,97,119,0.01%
Kings Mountain NMP,98,79,0.00%
Organ Pipe Cactus NM,99,64,0.00%
Lava Beds NM,100,49,0.00%
Grand Portage NM,101,36,0.00%
Wupatki NM,102,8,0.00%
