Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2007,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"282,663",16.59%
Lake Mead NRA,2,"222,774",13.07%
Saint Croix NSR,3,"85,873",5.04%
Yosemite NP,4,"76,576",4.49%
Olympic NP,5,"70,802",4.15%
Great Smoky Mountains NP,6,"70,215",4.12%
Canyonlands NP,7,"64,750",3.80%
Buffalo NR,8,"38,304",2.25%
Yellowstone NP,9,"38,040",2.23%
Delaware Water Gap NRA,10,"37,584",2.21%
Rocky Mountain NP,11,"36,078",2.12%
Isle Royale NP,12,"35,400",2.08%
Shenandoah NP,13,"33,668",1.98%
Denali NP & PRES,14,"30,919",1.81%
Grand Teton NP,15,"29,906",1.75%
Glacier NP,16,"27,993",1.64%
Zion NP,17,"27,446",1.61%
Dinosaur NM,18,"25,516",1.50%
Glen Canyon NRA,19,"24,694",1.45%
Mount Rainier NP,20,"24,523",1.44%
Point Reyes NS,21,"24,425",1.43%
Yukon-Charley Rivers NPRES,22,"23,197",1.36%
Sleeping Bear Dunes NL,23,"22,516",1.32%
Big Bend NP,24,"21,146",1.24%
Sequoia NP,25,"20,644",1.21%
Big South Fork NRRA,26,"20,520",1.20%
Big Cypress NPRES,27,"18,783",1.10%
Voyageurs NP,28,"18,257",1.07%
Channel Islands NP,29,"17,801",1.04%
Apostle Islands NL,30,"16,207",0.95%
North Cascades NP,31,"15,836",0.93%
Ozark NSR,32,"15,195",0.89%
Pictured Rocks NL,33,"15,055",0.88%
Ross Lake NRA,34,"14,369",0.84%
Padre Island NS,35,"13,634",0.80%
Everglades NP,36,"12,075",0.71%
Cape Lookout NS,37,"11,849",0.70%
Kings Canyon NP,38,"11,760",0.69%
Rio Grande W&SR,39,"8,765",0.51%
Mammoth Cave NP,40,"6,297",0.37%
Gates of the Arctic NP & PRES,41,"5,461",0.32%
Lassen Volcanic NP,42,"5,413",0.32%
Cumberland Island NS,43,"5,207",0.31%
Glacier Bay NP & PRES,44,"5,200",0.31%
Joshua Tree NP,45,"4,739",0.28%
Lake Chelan NRA,46,"4,561",0.27%
Hawaii Volcanoes NP,47,"4,215",0.25%
Klondike Gold Rush NHP Alaska,48,"3,768",0.22%
Whiskeytown NRA,49,"3,737",0.22%
Lake Roosevelt NRA,50,"3,220",0.19%
Canaveral NS,51,"2,900",0.17%
Amistad NRA,52,"2,626",0.15%
"John D. Rockefeller, Jr. MEM PKWY",53,"2,524",0.15%
Great Sand Dunes NP & PRES,54,"2,309",0.14%
Assateague Island NS,55,"2,125",0.12%
Guadalupe Mountains NP,56,"1,855",0.11%
Blue Ridge PKWY,57,"1,829",0.11%
Cumberland Gap NHP,58,"1,790",0.11%
Black Canyon of the Gunnison NP,59,"1,705",0.10%
Haleakala NP,60,"1,521",0.09%
Lake Clark NP & PRES,61,"1,477",0.09%
Canyon de Chelly NM,62,"1,446",0.08%
Crater Lake NP,63,"1,442",0.08%
Bryce Canyon NP,64,"1,432",0.08%
Gulf Islands NS,65,"1,336",0.08%
Saguaro NP,66,"1,295",0.08%
Bighorn Canyon NRA,67,"1,285",0.08%
Big Thicket NPRES,68,"1,202",0.07%
Capitol Reef NP,69,"1,136",0.07%
Acadia NP,70,"1,091",0.06%
Bandelier NM,71,"1,073",0.06%
Redwood NP,72,"1,005",0.06%
White Sands NM,73,950,0.06%
Congaree NP,74,795,0.05%
Badlands NP,75,710,0.04%
Golden Gate NRA,76,690,0.04%
Noatak NPRES,77,542,0.03%
El Malpais NM,78,535,0.03%
Katmai NP & PRES,79,494,0.03%
Theodore Roosevelt NP,80,480,0.03%
Fire Island NS,81,428,0.03%
Great Basin NP,82,420,0.02%
Organ Pipe Cactus NM,83,366,0.02%
Prince William Forest Park,84,353,0.02%
Obed W&SR,85,341,0.02%
Kobuk Valley NP,86,292,0.02%
Bering Land Bridge NPRES,87,283,0.02%
Arches NP,88,277,0.02%
Navajo NM,89,262,0.02%
Lake Meredith NRA,90,256,0.02%
Cape Krusenstern NM,91,251,0.01%
Petrified Forest NP,92,198,0.01%
Kenai Fjords NP,93,195,0.01%
Wind Cave NP,94,168,0.01%
Santa Monica Mountains NRA,95,144,0.01%
Catoctin Mountain Park,96,109,0.01%
Aniakchak NM & PRES,97,107,0.01%
Grand Portage NM,98,99,0.01%
Kings Mountain NMP,99,96,0.01%
Carlsbad Caverns NP,100,93,0.01%
Colorado NM,101,88,0.01%
Craters of the Moon NM,102,57,0.00%
