id,Year,ParkName,Rank,Value,PercentOfTotal
0,2018,Blue Ridge PKWY,1,14099485,0.0595
1,2018,Golden Gate NRA,2,12400045,0.0523
2,2018,Great Smoky Mountains NP,3,12095720,0.051
3,2018,Gateway NRA,4,8404728,0.0355
4,2018,Lake Mead NRA,5,8016510,0.0338
