Park,,Rank,Recreation Visits,% of Total
John Muir NHS,,259,33603,0.01%
Gila Cliff Dwellings NM,,260,31645,0.01%
North Cascades NP,,261,30885,0.01%
Lake Chelan NRA,,262,30598,0.01%
Valles Caldera NPRES,,263,30434,0.01%
Aztec Ruins NM,,264,30223,0.01%
Wolf Trap NP for the Performing Arts,,265,30073,0.01%
Longfellow House Washington's HQ NHS,,266,30014,0.01%
Arkansas Post NMEM,,267,29653,0.01%
Tallgrass Prairie NPRES,,268,29009,0.01%
Horseshoe Bend NMP,,269,28600,0.01%
Greenbelt Park,,270,28319,0.01%
Lincoln Home NHS,,271,27744,0.01%
Steamtown NHS,,272,27322,0.01%
Salinas Pueblo Missions NM,,273,26982,0.01%
George Washington Carver NM,,274,26569,0.01%
Fort Laramie NHS,,275,26066,0.01%
Weir Farm NHS,,276,25430,0.01%
Bluestone NSR,,277,25207,0.01%
Tonto NM,,278,24756,0.01%
General Grant NMEM,,279,24475,0.01%
Fort Stanwix NM,,280,24134,0.01%
Pu'ukohola Heiau NHS,,281,23970,0.01%
Christiansted NHS,,282,23816,0.01%
Tumacacori NHP,,283,23726,0.01%
Charles Pinckney NHS,,284,23723,0.01%
Marsh-Billings-Rockefeller NHP,,285,23538,0.01%
Hamilton Grange NMEM,,286,23015,0.01%
Oregon Caves NM & PRES,,287,22789,0.01%
Booker T. Washington NM,,288,22482,0.01%
Fort Larned NHS,,289,21895,0.01%
Hovenweep NM,,290,19856,0.01%
Friendship Hill NHS,,291,19462,0.01%
Chamizal NMEM,,292,19180,0.01%
New Bedford Whaling NHP,,293,18243,0.01%
Effigy Mounds NM,,294,18225,0.01%
Cane River Creole NHP,,295,17430,0.01%
Saugus Iron Works NHS,,296,16928,0.01%
Wrangell-St. Elias NP & PRES,,297,16655,0.01%
Buck Island Reef NM,,298,16032,0.01%
Pennsylvania Avenue NHS,,299,15898,0.01%
Kalaupapa NHP,,300,15847,0.01%
Grant-Kohrs Ranch NHS,,301,15328,0.01%
