id,Year,Park,Rank,Recreation Visits,Percent of Total
0,2020,Blue Ridge PKWY,1,14099485,0.0595
1,2020,Golden Gate NRA,2,12400045,0.0523
2,2020,Great Smoky Mountains NP,3,12095720,0.051
3,2020,Gateway NRA,4,8404728,0.0355
4,2020,Lake Mead NRA,5,8016510,0.0338
