id,Year,ParkName,Rank,Value,PercentOfTotal
0,2019,Blue Ridge PKWY,1,14099485,0.0595
1,2019,Golden Gate NRA,2,12400045,0.0523
2,2019,Great Smoky Mountains NP,3,12095720,0.051
3,2019,Gateway NRA,4,8404728,0.0355
4,2019,Lake Mead NRA,5,8016510,0.0338
